Shooting_an_apple_off_one's_child's_head	[20160601,20160602,20160603,20160604,20160605]	[86,75,84,50,56]	351	29
List_of_Apple_II_games	[20160601,20160602,20160603,20160604,20160605]	[73,86,77,39,74]	349	31
Silver_Apples	[20160601,20160602,20160603,20160604,20160605]	[70,68,95,56,58]	347	71
Appleton	[20160601,20160602,20160603,20160604,20160605]	[69,57,95,57,66]	344	92
Criminal_(Fiona_Apple_song)	[20160601,20160602,20160603,20160604,20160605]	[57,64,52,61,109]	343	101
Michael_Appleton	[20160601,20160602,20160603,20160604,20160605]	[77,110,74,37,44]	342	-32
Melanie_Appleby	[20160601,20160602,20160603,20160604,20160605]	[65,47,97,66,65]	340	116
Appleseed_XIII	[20160601,20160602,20160603,20160604,20160605]	[84,50,67,52,80]	333	65
Apple_iPod	[20160601,20160602,20160603,20160604,20160605]	[15,15,4,11,288]	333	273
Oak_Apple_Day	[20160601,20160602,20160603,20160604,20160605]	[74,52,47,130,30]	333	81
Apple_Corps_v_Apple_Computer	[20160601,20160602,20160603,20160604,20160605]	[60,74,85,46,67]	332	64
Apple_scab	[20160601,20160602,20160603,20160604,20160605]	[85,70,66,58,52]	331	21
Big_Apple_Comic_Con	[20160601,20160602,20160603,20160604,20160605]	[54,40,61,69,106]	330	142
Kim_Appleby	[20160601,20160602,20160603,20160604,20160605]	[57,50,99,70,54]	330	116
Apple_Public_Source_License	[20160601,20160602,20160603,20160604,20160605]	[63,63,68,62,72]	328	76
Apple_displays	[20160601,20160602,20160603,20160604,20160605]	[60,77,78,44,65]	324	50
Apple_inc	[20160601,20160602,20160603,20160604,20160605]	[77,73,76,63,35]	324	24
Apple_Leisure_Group	[20160601,20160602,20160603,20160604,20160605]	[59,61,72,86,37]	315	75
Cider_apple	[20160601,20160602,20160603,20160604,20160605]	[82,56,71,56,50]	315	39
Apple_crisp	[20160601,20160602,20160603,20160604,20160605]	[59,66,78,62,48]	313	63
Rotten_Apples	[20160601,20160602,20160603,20160604,20160605]	[70,51,68,58,66]	313	71
Apple_Jacks	[20160601,20160602,20160603,20160604,20160605]	[68,71,62,55,57]	313	35
Apple_menu	[20160601,20160602,20160603,20160604,20160605]	[69,55,71,57,59]	311	63
Herbert_Kappler	[20160601,20160602,20160603,20160604,20160605]	[66,61,56,64,57]	304	50
Little_Apple_(song)	[20160601,20160602,20160603,20160604,20160605]	[71,77,41,48,63]	300	4
History_of_Apple	[20160601,20160602,20160603,20160604,20160605]	[44,40,41,67,107]	299	131
Candy_Apples	[20160601,20160602,20160603,20160604,20160605]	[52,66,65,49,65]	297	61
The_Appleseed_Cast	[20160601,20160602,20160603,20160604,20160605]	[61,69,55,62,47]	294	34
The_Three_Apples	[20160601,20160602,20160603,20160604,20160605]	[40,96,63,46,49]	294	22
Pineapple_Express	[20160601,20160602,20160603,20160604,20160605]	[60,67,66,52,47]	292	38
Fiona_Apple_discography	[20160601,20160602,20160603,20160604,20160605]	[52,60,58,60,61]	291	67
Apple_Industrial_Design_Group	[20160601,20160602,20160603,20160604,20160605]	[84,52,59,46,48]	289	17
Apple_Developer	[20160601,20160602,20160603,20160604,20160605]	[83,54,51,54,46]	288	14
AppleLink	[20160601,20160602,20160603,20160604,20160605]	[100,28,51,84,24]	287	31
List_of_Baki_the_Grappler_characters	[20160601,20160602,20160603,20160604,20160605]	[56,43,48,74,63]	284	86
Appleseed_(OVA)	[20160601,20160602,20160603,20160604,20160605]	[51,54,74,57,46]	282	72
Humphrey_Appleby	[20160601,20160602,20160603,20160604,20160605]	[64,64,66,41,47]	282	26
Edward_Victor_Appleton	[20160601,20160602,20160603,20160604,20160605]	[67,57,49,48,59]	280	32
AppleScript_Editor	[20160601,20160602,20160603,20160604,20160605]	[67,64,54,60,35]	280	18
Pineapple_bun	[20160601,20160602,20160603,20160604,20160605]	[79,52,57,39,52]	279	17
Apple_Valley,_Minnesota	[20160601,20160602,20160603,20160604,20160605]	[75,62,49,44,48]	278	4
Apple_Bottoms	[20160601,20160602,20160603,20160604,20160605]	[60,56,55,48,55]	274	42
Apple_Computer,_Inc._v._Franklin_Computer_Corp.	[20160601,20160602,20160603,20160604,20160605]	[21,95,112,20,24]	272	40
Adam's_Apples	[20160601,20160602,20160603,20160604,20160605]	[59,55,48,54,54]	270	42
Candy_Apple_Grey	[20160601,20160602,20160603,20160604,20160605]	[52,56,64,53,44]	269	53
The_Apple_(Star_Trek:_The_Original_Series)	[20160601,20160602,20160603,20160604,20160605]	[59,38,56,74,39]	266	72
Appleseed	[20160601,20160602,20160603,20160604,20160605]	[53,70,48,52,43]	266	20
Big_Pineapple	[20160601,20160602,20160603,20160604,20160605]	[53,95,47,39,31]	265	-31
Pineapple_cake	[20160601,20160602,20160603,20160604,20160605]	[69,50,73,33,39]	264	26
Apple_QuickTake	[20160601,20160602,20160603,20160604,20160605]	[49,47,63,43,54]	256	64
Apple_community	[20160601,20160602,20160603,20160604,20160605]	[80,38,40,54,43]	255	19
Jazz_(apple)	[20160601,20160602,20160603,20160604,20160605]	[66,60,44,37,47]	254	2
Royce_D._Applegate	[20160601,20160602,20160603,20160604,20160605]	[42,40,49,57,62]	250	86
Little_Green_Apples	[20160601,20160602,20160603,20160604,20160605]	[49,49,72,46,34]	250	54
Apple_Daily	[20160601,20160602,20160603,20160604,20160605]	[49,48,64,34,54]	249	55
Rex_Applegate	[20160601,20160602,20160603,20160604,20160605]	[57,58,45,47,39]	246	16
Cooking_apple	[20160601,20160602,20160603,20160604,20160605]	[47,44,59,50,44]	244	62
Apple_bobbing	[20160601,20160602,20160603,20160604,20160605]	[60,42,51,38,51]	242	38
Apple_Display_Connector	[20160601,20160602,20160603,20160604,20160605]	[51,51,57,42,40]	241	37
Dunmore_Pineapple	[20160601,20160602,20160603,20160604,20160605]	[41,49,50,57,43]	240	60
Sea_pineapple	[20160601,20160602,20160603,20160604,20160605]	[61,47,44,45,39]	236	20
Michael_Scott_(Apple)	[20160601,20160602,20160603,20160604,20160605]	[57,56,40,39,44]	236	10
Apple_S1	[20160601,20160602,20160603,20160604,20160605]	[50,49,58,39,35]	231	33
Apples	[20160601,20160602,20160603,20160604,20160605]	[45,71,59,23,32]	230	-2
Rose_apple	[20160601,20160602,20160603,20160604,20160605]	[73,50,53,25,29]	230	-16
Mom's_Apple_Pie	[20160601,20160602,20160603,20160604,20160605]	[44,33,45,68,39]	229	75
Happily_N'Ever_After_2:_Snow_White_Another_Bite_@_the_Apple	[20160601,20160602,20160603,20160604,20160605]	[46,42,32,57,50]	227	51
Wolf_apple	[20160601,20160602,20160603,20160604,20160605]	[11,9,163,33,9]	225	185
Apple_ProDOS	[20160601,20160602,20160603,20160604,20160605]	[60,60,42,30,27]	219	-21
Big_Apple_Convention	[20160601,20160602,20160603,20160604,20160605]	[33,29,33,51,72]	218	94
One_to_One_(Apple)	[20160601,20160602,20160603,20160604,20160605]	[63,39,33,38,45]	218	14
Apples_and_Oranges_(song)	[20160601,20160602,20160603,20160604,20160605]	[46,46,53,34,38]	217	33
List_of_titles_by_Pink_Pineapple	[20160601,20160602,20160603,20160604,20160605]	[57,32,35,50,43]	217	39
The_Apple_Tree	[20160601,20160602,20160603,20160604,20160605]	[51,53,42,28,42]	216	8
History_of_Apple_Inc	[20160601,20160602,20160603,20160604,20160605]	[33,71,70,20,22]	216	8
Bonita_Applebum	[20160601,20160602,20160603,20160604,20160605]	[38,49,49,37,43]	216	42
List_of_apple_diseases	[20160601,20160602,20160603,20160604,20160605]	[57,46,44,32,36]	215	9
Cherry_Pink_(and_Apple_Blossom_White)	[20160601,20160602,20160603,20160604,20160605]	[46,42,33,45,48]	214	38
Applesoft_BASIC	[20160601,20160602,20160603,20160604,20160605]	[36,40,44,27,66]	213	61
Apple_Studio_Display	[20160601,20160602,20160603,20160604,20160605]	[43,42,42,41,44]	212	42
The_Bite_in_the_Apple	[20160601,20160602,20160603,20160604,20160605]	[46,44,38,35,49]	212	32
Appledore_Shipbuilders	[20160601,20160602,20160603,20160604,20160605]	[58,53,37,30,34]	212	-10
Apple_Venus_Volume_1	[20160601,20160602,20160603,20160604,20160605]	[49,38,50,39,35]	211	37
Apple_cake	[20160601,20160602,20160603,20160604,20160605]	[45,25,71,29,35]	205	65
Apple_A6X	[20160601,20160602,20160603,20160604,20160605]	[46,48,45,37,29]	205	17
Apple_USB_Mouse	[20160601,20160602,20160603,20160604,20160605]	[50,41,40,33,40]	204	22
Apple,_Inc.	[20160601,20160602,20160603,20160604,20160605]	[49,43,43,31,38]	204	20
Apple_University	[20160601,20160602,20160603,20160604,20160605]	[51,62,50,15,25]	203	-23
Outline_of_Apple_Inc.	[20160601,20160602,20160603,20160604,20160605]	[65,47,30,25,33]	200	-24
Apple_III_Plus	[20160601,20160602,20160603,20160604,20160605]	[40,44,44,36,35]	199	31
Apple_Specialist	[20160601,20160602,20160603,20160604,20160605]	[52,37,42,30,38]	199	21
Apple_SOS	[20160601,20160602,20160603,20160604,20160605]	[57,38,34,33,36]	198	8
Candy_apple_red_(color)	[20160601,20160602,20160603,20160604,20160605]	[45,37,49,36,30]	197	33
Apple_IIe_Card	[20160601,20160602,20160603,20160604,20160605]	[30,36,54,36,41]	197	65
The_Apple_Dumpling_Gang_Rides_Again	[20160601,20160602,20160603,20160604,20160605]	[40,28,39,34,56]	197	61
Timeline_of_Apple_products	[20160601,20160602,20160603,20160604,20160605]	[46,44,38,31,37]	196	16
Appleby_College	[20160601,20160602,20160603,20160604,20160605]	[45,36,47,26,41]	195	33
Apple_Pro_Mouse	[20160601,20160602,20160603,20160604,20160605]	[36,35,51,33,40]	195	53
Apple–Intel_architecture	[20160601,20160602,20160603,20160604,20160605]	[47,38,41,28,41]	195	25
